,Title,Director,Cast,id,genres,imdb_id,original_language,popularity,release_date,runtime,vote_average,vote_count
79,Pagglait,Umesh Bist,"Sanya Malhotra,Shruti Sharma,Sayani Gupta,Ashutosh Rana,Raghubir Yadav,Rajesh Tailang,Sheeba Chaddha,Meghna Malik",786190.0,"Drama,Comedy",tt11142762,hi,8.183,2021,1 hrs 54 min,6.7,31
80,Saina,Amole Gupte,"Parineeti Chopra,Manav Kaul,Paresh Rawal",801831.0,Drama,tt9176086,hi,3.344,2021,2 hrs 13 min,6.3,6
81,Silence... Can You Hear It?,Aban Bharucha Deohans,"Manoj Bajpayee,Prachi Desai,Arjun Mathur,Sahil Vaid,Barkha Singh,Shirish Sharma,Sohaila Kapoor,Amit Thakkar,Garima Yagnik",804005.0,"Thriller,Drama",tt13698928,hi,2.121,2021,2 hrs 16 min,6.1,9
82,Koi Jaane Na,Amin Hajee,"Kunal Kapoor,Amyra Dastur",794008.0,"Thriller,Mystery",tt13989310,hi,3.44,2021,2 hrs 21 min,6.7,3
83,The Big Bull,Kookie Gulati,"Abhishek Bachchan,Sohum Shah,Nikita Dutta",660042.0,"Crime,Drama",tt9614452,hi,5.389,2021,2 hrs 34 min,5.3,9
84,Hello Charlie,Pankaj Saraswat,"Aadar Jain,Jackie Shroff,Elnaaz Norouzi,Shlokka Pandit",807072.0,"Adventure,Comedy",tt14260080,hi,3.249,2021,1 hrs 42 min,6.6,13
85,Ajeeb Daastaans,Shashank KhaitanRaj MehtaNeeraj GhaywanKayoze Irani,"Fatima Sana,Jaideep Ahlawat,Nushrratt Bharuccha,Abhishek Banerjee,Inayat Verma,Konkona Sen,Aditi Rao,Shefali Shah,Manav Kaul,Tota Roy",802403.0,"Drama,Romance",tt14091818,hi,5.221,2021,2 hrs 22 min,6.4,29
86,Raat Baaki Hai,Avinash Das,"Paoli Dam,Anup Soni,Rahul Dev,Dipannita Sharma",761876.0,"Crime,Thriller,Drama",tt13144076,hi,1.263,2021,1 hrs 29 min,6.0,1
87,Radhe,Prabhu Deva,"Salman Khan,Disha Patani,Jackie Shroff,Randeep Hooda,Megha Akash",679844.0,"Action,Crime,Drama,Thriller",tt10888594,hi,4.686,2021,2 hrs 15 min,4.5,38
88,Sardar Ka Grandson,Kaashvie Nair,"Arjun Kapoor,Rakul Preet,Neena Gupta,John Abraham,Aditi Rao,Soni Razdan,Kanwaljit Singh,Kumud Mishra",734780.0,"Comedy,Drama,Romance,Family",tt11213600,hi,5.473,2021,2 hrs 20 min,7.6,21
89,Shaadisthan,Raj Singh Chaudhary,"Kirti Kulhari,Medha Shankar,Nivedita Bhattacharya",836263.0,"Adventure,Drama,Music",tt14690080,hi,1.425,2021,1 hrs 33 min,7.0,3
90,Sherni,Amit V. Masurkar,"Vidya Balan,Sharat Saxena,Mukul Chaddha,Vijay Raaz,Ila Arun,Brijendra Kala,Neeraj Kabi",830891.0,Drama,tt10741542,hi,2.726,2021,2 hrs 10 min,6.6,16
91,Haseen Dillruba,Vinil Mathew,"Taapsee Pannu,Vikrant Massey,Harshvardhan Rane",695969.0,"Mystery,Crime,Thriller,Romance",tt11027830,hi,7.479,2021,2 hrs 16 min,6.5,55
92,Collar Bomb,Dnyanesh Zoting,"Jimmy Sheirgill,Asha Negi,Rajshri Deshpande",844710.0,"Crime,Thriller",tt14922300,hi,2.068,2021,1 hrs 26 min,4.0,2
93,State of Siege: Temple Attack,Ken Ghosh,"Akshaye Khanna,Abhimanyu Singh,Gautam Rode,Vivek Dahiya,Akshay Oberoi,Parvin Dabas,Samir Soni,Mir Sarwar,Manjari Fadnis",845861.0,"Action,Drama",tt14418234,hi,5.655,2021,1 hrs 46 min,5.5,11
94,14 Phere,Devanshu Singh,"Vikrant Massey,Kriti Kharbanda",732886.0,"Comedy,Romance,Drama",tt12887178,hi,2.628,2021,1 hrs 52 min,6.7,9
95,Hungama 2,Priyadarshan,"Paresh Rawal,Shilpa Shetty,Meezaan Jafri,Pranitha Subhash,Rajpal Yadav,Tiku Talsania,Ashutosh Rana,Manoj Joshi,Johny Lever",658075.0,Comedy,tt8983220,hi,4.169,2021,2 hrs 36 min,5.7,11
96,Mimi,Laxman Utekar,"Kriti Sanon,Pankaj Tripathi,Sai Tamhankar,Manoj Pahwa,Supriya Pathak",653457.0,"Comedy,Drama",tt10895576,hi,9.281,2021,2 hrs 12 min,7.1,52
97,Dial 100,Rensil D'Silva,"Manoj Bajpayee,Neena Gupta,Sakshi Tanwar",770578.0,"Mystery,Thriller",tt13562940,hi,1.387,2021,1 hrs 44 min,7.3,5
98,Shershaah,Vishnuvardhan,"Sidharth Malhotra,Kiara Advani,Shiv Panditt,Raj Arjun,Pranay Pachauri,Nikitin Dheer,Ankita Goraya,Anil Charanjeett,Sahil Vaid,Shataf Figar,Pawan Chopra",599925.0,"Action,Drama,Thriller,War",tt10295212,hi,8.96,2021,2 hrs 15 min,7.3,61
99,Bhuj: The Pride of India,Abhishek Dudhaiya,"Ajay Devgn,Sanjay Dutt,Sharad Kelkar,Sonakshi Sinha,Ammy Virk,Pranitha Subhash,Nora Fatehi,Ihana Dhillon",590397.0,"War,History,Action,Drama",tt10062556,hi,3.24,2021,1 hrs 53 min,6.2,15
100,Bell Bottom,Ranjit M Tewari,"Akshay Kumar,Vaani Kapoor,Huma Qureshi,Lara Dutta",721048.0,"Thriller,Action",tt11260832,hi,4.284,2021,2 hrs 3 min,6.7,23
101,Chehre,Rumi Jafry,"Amitabh Bachchan,Emraan Hashmi,Rhea Chakraborty,Siddhanth Kapoor,Annu Kapoor,Dhritiman Chatterjee,Raghubir Yadav",695951.0,"Thriller,Mystery,Drama",tt10309902,hi,3.634,2021,2 hrs 19 min,6.9,13
102,Helmet,Satramm Ramani,"Aparshakti Khurana,Pranutan Bahl,Abhishek Banerjee,Ashish Verma,Sharib Hashmi",862717.0,"Comedy,Drama",tt11460818,hi,1.128,2021,1 hrs 45 min,6.0,6
103,Faactory,Faisal Khan,"Faisal Khan,Roaleey Ryan,Rajkumar Kanojia,Ribbhu Mehra,Sharad Singh,Asha Singh",917388.0,"Action,Crime,Drama,Romance,Thriller",tt13013820,hi,0.6,2021,0 hrs 0 min,1.0,1
104,Bhoot Police,Pavan Kirpalani,"Saif Ali,Arjun Kapoor,Jacqueline Fernandez,Yami Gautam,Javed Jaffrey",739146.0,"Adventure,Horror,Comedy",tt10083640,hi,3.748,2021,2 hrs 9 min,5.5,22
105,Kya Meri Sonam Gupta Bewafa Hai?,Ssaurabh Tyagi,"Jassie Gill,Surbhi Jyoti,Surekha Sikri,Vijay Raaz,Brijendra Kala,Atul Shrivastava",868642.0,"Comedy,Drama",tt13451792,hi,1.544,2021,2 hrs 16 min,6.0,3
106,Ankahi Kahaniya,Ashwiny Iyer TiwariAbhishek ChaubeySaket Chaudhary,"Abhishek Banerjee,Rinku Rajguru,Delzad Hiwale,Kunal Kapoor,Zoya Hussain,Nikhil Dwivedi,Palomi Ghosh",862701.0,"Drama,Romance",tt15250998,hi,3.899,2021,1 hrs 50 min,6.5,12
